round,source,target,count,value
2,8,21,0,0
2,8,22,0,0
2,8,23,0,0
2,8,24,0,0
2,8,25,0,0
2,8,26,0,0
2,8,27,0,11
2,8,28,4,2826
2,8,29,0,0
2,8,30,0,0
2,8,31,0,263
2,9,0,0,0
2,9,1,3,564
2,9,2,0,0
2,9,3,0,0
2,9,4,0,0
2,9,5,0,1332
2,9,6,0,0
2,9,7,0,0
2,9,8,0,7374
2,9,9,27,8066
2,9,10,0,0
2,9,11,0,0
2,9,12,0,0
2,9,13,0,0
2,9,14,0,0
2,9,15,1,396
2,9,16,0,20
2,9,17,0,0
2,9,18,7,15724
2,9,19,0,0
2,9,20,0,0
2,9,21,0,0
2,9,22,0,0
2,9,23,0,0
2,9,24,0,0
2,9,25,0,0
2,9,26,0,0
2,9,27,0,0
2,9,28,4,10383
2,9,29,0,0
2,9,30,0,0
2,9,31,0,0
2,10,0,0,0
2,10,1,1,14
2,10,2,0,0
2,10,3,0,0
2,10,4,0,0
2,10,5,0,0
2,10,6,0,0
2,10,7,0,0
